"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","14388.11","-211.05","-1.45","01/10"
"東證一部","1401.36","-22.93","-1.61","01/10"
"東證二部","3160.14","-3.08","-0.10","01/10"
"JASDAQ","69.04","-0.80","-1.15","01/10"
"上海綜合","5456.54","20.73","0.38","01/10"
"上海A股","5726.90","21.98","0.39","01/10"
"上海B股","368.86","-1.49","-0.40","01/10"
"滬深300","5672.15","58.40","1.04","01/10"
"香港恆生","27230.86","-384.99","-1.39","01/10"
"香港國企","16027.69","-111.77","-0.69","01/10"
"香港紅籌","6032.93","-22.62","-0.37","01/10"
"台灣加權","8057.27","-27.79","-0.34","01/10"
"台灣店頭","144.29","0.42","0.29","01/10"
"韓國指數","1824.78","-19.69","-1.07","01/10"
"新加坡","3344.53","22.77","0.69","01/09"
"馬來西亞","1491.66","1.92","0.13","01/09"
"菲律賓","3454.60","38.52","1.13","01/10"
"印尼股市","2830.26","44.64","1.60","01/09"
"越南股市","850.07","-28.34","-3.23","01/10"
"泰國股市","800.18","-20.29","-2.47","01/10"
"印度股市","20582.08","-287.70","-1.38","01/10"
"澳洲股市","6159.10","11.80","0.19","10:07"
"紐西蘭","3907.77","7.89","0.20","07:37"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2306.87","10.31","0.45","01/10"
"英國指數","6222.70","-50.00","-0.80","01/10"
"法國指數","5400.43","-34.99","-0.64","01/10"
"德國指數","7713.09","-69.62","-0.89","01/10"
"道瓊歐洲","4237.62","-20.70","-0.49","01/10"
"土耳其","52351.01","-379.71","-0.72","01/10"
"匈牙利","25386.31","-312.80","-1.22","01/10"
"奧地利","4162.18","-120.18","-2.81","01/10"
"波蘭股市","51123.31","-1295.81","-2.47","01/10"
"捷克股市","1646.10","-42.80","-2.53","01/10"
"盧森堡","2286.08","-11.60","-0.50","01/10"
"義大利","28000.00","-123.00","-0.44","16:43"
"西班牙","1564.90","-9.98","-0.63","01/10"
"瑞士股市","8290.78","-49.03","-0.59","01/10"
"瑞典股市","989.70","-13.99","-1.39","01/10"
"芬蘭股市","10590.98","-95.66","-0.90","01/10"
"挪威股市","387.98","-13.47","-3.36","01/10"
"以色列","1160.59","-19.63","-1.66","01/10"
"埃及股市","96993.62","122.44","0.13","01/10"
"南非股市","25300.90","-468.19","-1.82","01/10"
"摩洛哥","27623.95","0.90","0.00","01/10"
"約旦指數","8150.49","-10.75","-0.13","01/09"
"杜拜指數","6081.93","-73.13","-1.19","01/09"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","12853.09","117.78","0.92","16:30"
"NASDAQ","2488.52","13.97","0.56","17:16"
"羅素2000","720.21","8.09","1.14","01/10"
"S&P 500","1420.33","11.20","0.79","01/10"
"費城金銀","192.81","2.67","1.40","01/10"
"DJ貴金屬","388.41","3.69","0.96","17:31"
"CBOE黃金","203.34","4.23","2.12","01/10"
"AMEX金蟲","468.85","10.39","2.27","17:15"
"AMEX能源","769.72","-4.67","-0.60","17:15"
"NYSE能源","15046.61","-101.90","-0.67","17:06"
"費城油業","295.96","-3.03","-1.01","01/10"
"AMEX石油","1492.47","-13.49","-0.90","17:15"
"費城半導","362.55","-0.39","-0.11","01/10"
"NSDQ金融","2685.32","58.68","2.23","17:16"
"NYSE金融","7924.21","119.54","1.53","17:06"
"NBI生技","857.55","8.56","1.01","17:16"
"AMEX生技","807.27","13.46","1.70","17:15"
"費城藥物","213.47","-0.05","-0.02","01/10"
"加拿大","13642.65","62.71","0.46","01/10"
"巴西指數","63515.48","841.79","1.34","01/10"
"墨西哥","29069.56","667.95","2.35","15:06"
"阿根廷","2084.55","-5.03","-0.24","01/10"
"智利","2821.09","71.28","2.59","01/10"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","8621.00","-109.00","-1.25","01/09"
"波海海峽航運","12400.00","-310.00","-2.44","01/09"
"波海巴拿馬航運","8109.00","-33.00","-0.41","01/09"
"VIX波動率","23.45","-0.67","-2.78","16:14"
"DJ交通運輸","4273.99","111.29","2.67","16:30"
"道瓊公用事業","547.64","-2.42","-0.44","16:30"
"歐洲公用事業","371.15","0.37","0.10","17:45"
"全球公用事業","8433.37","21.98","0.26","16:15"
"ISE水指數","83.72","0.61","0.73","16:43"
"道瓊水指數","695.16","-4.30","-0.61","15:58"
"NSDQ純淨優勢","578.74","-3.49","-0.60","16:44"
"純淨科技","1421.32","8.35","0.59","16:44"
"WH革新能源","256.79","1.75","0.69","16:44"
"WH乾淨能源","259.17","-1.06","-0.41","16:44"
"全球乾淨能源","3477.13","-64.23","-1.81","16:34"
"ISE替代能源","61.93","-0.46","-0.74","16:44"
"全球替代能源","3588.58","-117.33","-3.17","16:33"
"生物能源","645.96","-14.84","-2.25","16:34"
"AMEX環境服務","990.46","10.06","1.03","16:44"
"歐洲環境控制","170.13","-0.39","-0.23","17:45"
"美國環境控制","96.84","1.33","1.39","16:15"
"KLD社會責任","121.96","0.90","0.74","16:44"
"Clvrt社會責任","82.89","0.77","0.94","16:06"
"ISE邪惡指數","121.58","0.31","0.26","16:44"
"MSCI世界能源","295.69","0.55","0.19","01/09"
"MSCI世界原料","290.44","-0.90","-0.31","01/09"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"Rogers商品","4454.73","-46.97","-1.04","14:30"
"Rogers能源","1314.65","-11.67","-0.88","1/9"
"Rogers金屬","2274.27","-15.66","-0.68","1/9"
"Rogers農產","1367.23","-9.33","-0.68","1/9"
"日本不動產","2734.47","-114.93","-4.03","15:44"
"東證REIT","1733.85","-40.71","-2.29","15:00"
"澳洲不動產","1511.84","-24.41","-1.59","18:14"
"新加坡不動產","1201.65","1.94","0.16","01/09"
"恆生地產","37785.05","-1053.78","-2.71","17:01"
"亞洲REIT","157.62","-2.05","-1.28","16:30"
"英國不動產","1826.96","-3.20","-0.17","17:38"
"歐陸不動產","2111.73","-36.77","-1.71","17:45"
"歐洲不動產","2636.57","-22.38","-0.84","17:45"
"DJ權益REIT","237.19","3.95","1.69","16:48"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"CRB指數","363.89","-2.69","-0.73","01/10"
"MS商品指數","859.51","1.95","0.23","01/10"
"高盛商品指數","7440.22","-113.59","-1.50","01/10"
"高盛農產品","390.12","-1.98","-0.50","01/10"
"高盛家畜指數","222.54","2.07","0.94","01/10"
"高盛工業金屬","420.54","-3.34","-0.79","01/10"
"天然氣","578.31","-0.90","-0.16","01/10"
"AMEX航空","32.73","3.51","12.01","01/10"
"銀行","83.77","1.75","2.13","01/10"
"醫療服務","425.23","0.59","0.14","01/10"
"電腦科技","883.62","1.29","0.15","01/10"
"電腦硬體","214.33","1.39","0.65","01/10"
"保險","4018.91","61.72","1.56","01/10"
"美國紙業","125.29","-0.24","-0.19","01/10"
"零售業","378.38","3.23","0.86","01/10"
"掮客商指數","190.93","6.72","3.65","01/10"
"美元指數","75.90","-0.53","-0.69","01/10"
"歐元指數","147.95","1.48","1.01","01/10"
"日圓指數","91.40","0.00","0.00","01/10"
"澳幣指數","89.55","1.53","1.74","01/10"
"30年債券價格","116.81","-1.38","-1.16","01/10"
"30年債殖利率","44.44","1.23","2.85","01/10"
"10年期票利率","38.87","0.96","2.53","01/10"
"5年期票殖利率","31.58","0.69","2.23","01/10"
"3月期票殖利率","31.30","0.20","0.64","01/10"
"Put/Call比例","0.98","-0.18","-15.52","01/10"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","893.60","+1.90","+0.21","5:55"
"銀","16.16","-0.04","-0.25","5:52"
"白金","1555.00","-2.00","-0.13","4:37"
"鈀","376.00","0.00","0.00","4:38"
"銅","3.2732","-0.0127","-0.39","2:50"
"鎳","12.9008","-0.4499","-3.39","2:22"
"鋁","1.1061","-0.0019","-0.18","2:01"
"鋅","1.1117","-0.0222","-1.97","2:23"
"鉛","1.5466","+0.3810","+32.75","0:37"
"黃金期貨","893.600","11.900","1.35","2:49"
"銀期貨","16.285","0.445","2.81","5:24"
"銅期貨","327.750","-0.600","-0.18","5:22"
"天然氣期","8.290","0.191","2.36","5:22"
"布蘭特油期","92.220","-2.150","-2.28","4:06"
"WTI原油期","94.190","-1.480","-1.55","5:23"
"玉米期貨","475.000","-2.250","-0.47","3:24"
"小麥期貨","882.500","-7.000","-0.79","3:15"
"可可粉期","1125.000","11.000","0.99","1:00"
"大豆期貨","1260.250","-2.250","-0.18","3:15"
"咖啡C期","136.650","1.050","0.77","2:10"
"十一號糖","11.390","-0.060","-0.52","2:13"
"二號棉期","66.960","-2.060","-2.98","3:58"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.4808","0.0148","1.01","5:53"
"英鎊/美元","1.9614","0.0028","0.15","5:53"
"美元/瑞士法郎","1.1029","-0.0138","-1.24","5:53"
"美元/俄盧布","24.3430","-0.1445","-0.59","5:53"
"美元/匈牙利幣","170.9900","-2.4650","-1.42","5:53"
"美元/土耳其幣","1.1488","-0.0114","-0.98","5:53"
"美元/南非幣","6.8250","-0.0375","-0.55","5:53"
"美元/日圓","109.3200","-0.7200","-0.65","5:53"
"美元/人民幣","7.2708","0.0081","0.11","16:59"
"美元/港幣","7.8032","-0.0044","-0.06","5:53"
"美元/台幣","32.4900","0.0190","0.06","16:00"
"美元/韓圜","937.7000","-0.0001","-0.00","5:50"
"美元/泰銖","29.4300","-0.1000","-0.34","5:16"
"美元/新元","1.4306","-0.0002","-0.01","5:53"
"美元/馬來幣","3.2692","0.0024","0.07","16:40"
"美元/印尼盾","9437.5000","-2.0000","-0.02","16:40"
"美元/印度盧比","39.2850","0.0012","0.00","19:29"
"澳幣/美元","0.8952","0.0122","1.38","5:53"
"紐幣/美元","0.7844","0.0116","1.49","5:53"
"美元/巴西幣","1.7584","-0.0111","-0.63","5:34"
"美元/墨披索","10.9320","-0.0066","-0.06","5:52"
"美元/加幣","1.0092","-0.0009","-0.09","5:53"

"MSCI 指數"
"MSCI","指數","單日","一個月","三個月","YTD"
"新興市場","1221.29","-0.47","-1.95","-8.70","-1.95"
"新興亞洲","500.83","-1.04","-2.51","-12.20","-2.51"
"新興東歐","382.13","0.22","-0.14","3.06","-0.14"
"新興拉美","4311.63","1.43","-2.02","-6.60","-2.02"
