"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","13655.34","-287.92","-2.06","close"
"東證一部","1341.76","-31.19","-2.27","close"
"東證二部","2920.23","-19.89","-0.68","close"
"JASDAQ","64.31","-0.19","-0.29","close"
"上海綜合","3613.49","-43.34","-1.19","close"
"上海A股","3791.52","-45.56","-1.19","close"
"上海B股","258.01","-1.95","-0.75","close"
"深圳A股","1152.61","-5.39","-0.47","close"
"深圳B股","561.96","-1.92","-0.34","close"
"滬深300","3878.92","-46.12","-1.17","close"
"香港恆生","25063.17","-386.62","-1.52","close"
"香港國企","13662.58","-224.01","-1.61","close"
"香港紅籌","5668.95","-53.77","-0.94","close"
"台灣加權","8792.39","-74.23","-0.84","close"
"台灣店頭","158.09","-1.40","-0.88","close"
"韓國指數","1823.70","-24.30","-1.31","18:03"
"越南股市","500.33","-7.61","-1.50","11:01"
"泰國股市","846.71","-3.46","-0.41","17:02"
"菲律賓","2779.42","18.80","0.68","12:11"
"馬來西亞","1285.27","4.92","0.38","17:00"
"印尼股市","2375.03","-1.91","-0.08","17:09"
"印度股市","16737.07","-343.58","-2.01","16:28"
"孟加拉","3092.05","12.96","0.42","05/08"
"巴基斯坦","10155.83","-109.94","-1.07","15:00"
"澳洲股市","5844.40","43.50","0.75","17:47"
"紐西蘭","3601.17","-24.43","-0.67","14:31"
"新加坡","3162.03","-9.85","-0.31","17:10"
"龍籌股","162.56","-2.08","-1.26","05/09"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2283.99","82.52","3.75","05/08"
"英國指數","6204.70","-66.10","-1.05","05/09"
"法國指數","4960.56","-95.02","-1.88","05/09"
"德國指數","7003.17","-68.73","-0.97","05/09"
"土耳其","42034.70","-275.67","-0.65","05/09"
"匈牙利","23119.46","-18.75","-0.08","05/09"
"奧地利","4262.17","-32.72","-0.76","05/09"
"波蘭股市","47598.66","-131.26","-0.28","05/09"
"捷克股市","1636.80","-26.90","-1.62","05/09"
"瑞典股市","1003.51","-16.16","-1.58","05/09"
"芬蘭股市","9687.43","-150.76","-1.53","05/09"
"挪威股市","427.16","-7.36","-1.69","05/09"
"希臘指數","4205.90","-60.94","-1.43","05/09"
"義大利","25731.00","-263.00","-1.01","16:43"
"盧森堡","2344.56","8.48","0.36","05/09"
"荷蘭","480.40","-4.21","-0.87","05/09"
"冰島","4900.87","-22.16","-0.45","05/09"
"丹麥","435.13","-2.17","-0.50","05/09"
"瑞士股市","7483.97","-102.18","-1.35","05/09"
"西班牙","1499.41","-10.87","-0.72","05/09"
"葡萄牙","3647.54","-18.50","-0.50","05/09"
"愛爾蘭","6431.38","-51.28","-0.79","05/09"
"以色列","1087.02","-13.06","-1.19","05/06"
"埃及股市","100126.90","-1207.00","-1.19","05/08"
"南非股市","30127.72","-18.11","-0.06","05/09"
"摩洛哥","29678.75","188.32","0.64","05/09"
"約旦指數","9247.27","185.82","2.05","05/08"
"杜拜指數","5829.88","-29.69","-0.51","05/08"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12745.88","-120.90","-0.94","05/09"
"NASDAQ","2445.52","-5.72","-0.23","05/09"
"羅素2000","720.05","0.50","0.07","05/09"
"S&P 500","1388.28","-9.40","-0.67","05/09"
"費城金銀","179.63","-2.52","-1.38","05/09"
"DJ貴金屬","367.53","-6.30","-1.69","17:17"
"CBOE黃金","187.32","-1.63","-0.86","05/09"
"AMEX金蟲","422.99","-2.32","-0.55","05/09"
"AMEX能源","848.02","-5.51","-0.65","05/09"
"NYSE能源","16080.77","-82.05","-0.51","05/09"
"費城油業","332.50","1.00","0.30","05/09"
"AMEX石油","1519.48","-9.36","-0.61","05/09"
"費城半導","398.50","-1.26","-0.32","05/09"
"NSDQ金融","2634.56","-12.37","-0.47","05/09"
"NYSE金融","7583.36","-71.14","-0.93","05/09"
"NBI生技","797.06","0.64","0.08","05/09"
"AMEX生技","748.11","0.41","0.06","05/09"
"費城藥物","178.15","-2.23","-1.24","05/09"
"加拿大","14521.19","-86.80","-0.59","05/09"
"巴西指數","69645.70","-76.55","-0.11","05/09"
"墨西哥","30674.36","-77.61","-0.25","05/09"
"阿根廷","2114.44","12.59","0.60","05/09"
"智利","2919.68","-2.49","-0.09","05/09"
"秘魯","17329.70","-47.94","-0.28","05/09"
"哥倫比亞","10049.40","44.58","0.45","05/09"
"委內瑞拉","38101.00","-73.92","-0.19","05/09"
"百慕達","5022.31","-23.88","-0.47","05/09"
"牙買加","110391.86","121.98","0.11","05/09"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","10221.00","117.00","1.16","05/08"
"波海海峽航運","15629.00","76.00","0.49","05/08"
"波海巴拿馬航運","9806.00","111.00","1.15","05/08"
"VIX波動率","19.41","0.01","0.05","16:14"
"道瓊歐洲","3801.59","-54.27","-1.41","19:00"
"DJ交通運輸","5193.98","-30.75","-0.59","16:30"
"道瓊公用事業","508.79","-0.09","-0.02","16:30"
"歐洲公用事業","333.96","-0.75","-0.22","17:45"
"全球公用事業","7658.47","-6.78","-0.09","16:15"
"ISE水指數","89.31","-0.02","-0.02","17:00"
"道瓊水指數","563.93","-4.63","-0.81","17:16"
"純淨科技","1465.55","-3.73","-0.25","16:45"
"WH創新能源","261.46","-0.47","-0.18","16:45"
"WH乾淨能源","219.48","-0.42","-0.19","16:45"
"全球乾淨能源","3335.67","-12.58","-0.38","17:00"
"ISE替代能源","53.20","0.01","0.02","17:00"
"全球替代能源","3595.75","-10.86","-0.30","17:18"
"ET50環境科技","253.57","-1.46","-0.57","21:15"
"生物能源","501.54","-7.01","-1.38","17:19"
