"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5503.07","73.03","1.34%","12/03"
"澳洲股市","5301.20","41.20","0.78%","16:37"
"日經225","17720.43","57.21","0.32%","12/03"
"東證一部","1429.75","1.90","0.13%","12/03"
"東證二部","4337.85","3.08","0.07%","15:00"
"JASDAQ","105.07","-0.52","-0.49%","15:00"
"韓國股市","1969.91","4.08","0.21%","12/03"
"台灣加權","9175.26","140.47","1.55%","12/03"
"台灣店頭","135.49","2.99","2.26%","12/03"
"上海綜合","2779.53","15.98","0.58%","12/03"
"上海A股","2911.24","16.74","0.58%","12/03"
"上海B股","279.30","1.59","0.57%","15:29"
"深圳A股","1518.43","20.37","1.36%","15:00"
"深圳B股","999.02","6.10","0.61%","15:00"
"滬深300","2967.55","43.61","1.49%","12/03"
"深證成指","9643.92","276.97","2.96%","12/03"
"香港恆生","23428.62","-225.68","-0.95%","12/03"
"香港國企","11060.21","-65.58","-0.59%","12/03"
"香港紅籌","4402.73","-54.23","-1.22%","12/03"
"蒙古股市","14949.90","4.56","0.03%","12/03"
"新加坡","3303.39","-18.93","-0.57%","12/03"
"海峽中國","221.96","-0.95","-0.43%","17:10"
"越南股市","574.88","5.45","0.96%","12/03"
"泰國股市","1594.58","0.58","0.04%","17:07"
"菲律賓","7360.75","16.52","0.22%","12/03"
"馬來西亞","1758.15","-27.82","-1.56%","12/03"
"印尼股市","5166.04","-9.75","-0.19%","12/03"
"印度股市","28442.71","-1.30","-0.00%","17:19"
"巴基斯坦","23068.90","128.54","0.56%","16:59"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","948.58","23.15","2.50%","18:50"
"英國股市","6716.63","-25.47","-0.38%","12/03"
"法國股市","4391.86","3.56","0.08%","12/03"
"德國股市","9971.79","37.71","0.38%","12/03"
"土耳其","84915.14","-0.01","-0.00%","12/03"
"匈牙利","17281.57","88.31","0.51%","12/03"
"奧地利","2282.34","8.46","0.37%","12/03"
"波蘭股市","53801.73","28.28","0.05%","12/03"
"捷克股市","1019.75","11.92","1.18%","12/03"
"瑞典股市","1464.84","14.77","1.02%","12/03"
"芬蘭股市","7924.38","13.59","0.17%","12/03"
